"","location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"1","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0","0.1",2.04e-05
"2","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.1","0.2",2.47e-05
"3","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.2","0.3",2.97e-05
"4","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.3","0.4",3.57e-05
"5","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.4","0.5",4.28e-05
"6","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.5","0.6",5.12e-05
"7","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.6","0.7",6.11e-05
"8","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.7","0.8",7.27e-05
"9","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.8","0.9",8.62e-05
"10","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.9","1",0.000101994
"11","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1","1.1",0.000120369
"12","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.1","1.2",0.000141682
"13","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.2","1.3",0.000166331
"14","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.3","1.4",0.000194755
"15","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.4","1.5",0.000227438
"16","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.5","1.6",0.000264908
"17","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.6","1.7",0.000307741
"18","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.7","1.8",0.00035656
"19","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.8","1.9",0.00041204
"20","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.9","2",0.000474901
"21","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2","2.1",0.000545916
"22","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.1","2.2",0.000625902
"23","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.2","2.3",0.000715723
"24","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.3","2.4",0.000816285
"25","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.4","2.5",0.000928531
"26","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.5","2.6",0.001053439
"27","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.6","2.7",0.001192011
"28","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.7","2.8",0.001345269
"29","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.8","2.9",0.001514245
"30","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.9","3",0.00169997
"31","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3","3.1",0.001903464
"32","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.1","3.2",0.002125719
"33","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.2","3.3",0.002367693
"34","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.3","3.4",0.002630285
"35","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.4","3.5",0.002914328
"36","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.5","3.6",0.003220565
"37","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.6","3.7",0.003549637
"38","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.7","3.8",0.003902058
"39","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.8","3.9",0.004278206
"40","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.9","4",0.004678296
"41","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","4","4.1",0.005102368
"42","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","4.1","4.2",0.005550268
"43","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","4.2","4.3",0.006021632
"44","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","4.3","4.4",0.006515872
"45","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","4.4","4.5",0.007032163
"46","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","4.5","4.6",0.007569435
"47","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","4.6","4.7",0.00812636
"48","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","4.7","4.8",0.008701352
"49","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","4.8","4.9",0.009292563
"50","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","4.9","5",0.009897884
"51","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","5","5.1",0.010514952
"52","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","5.1","5.2",0.011141157
"53","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","5.2","5.3",0.011773658
